Word1,Word2,POS,Sim1,Sim2,STD,Cosine,Pearson,Spearman 
áo_quan,quan_tài,N,3.93,6.55,0.85,0.676,0.682,0.669
trẩy_hội,ví,V,0.27,0.45,0.57,0.053,0.05,0.041
nhức_nhối,nhấp_nhỏm,A,1.93,3.22,1.24,None,None,None
cũ_kỹ,mới_mẻ,A,0.33,0.55,0.6,0.323,0.33,0.326
nhạo,hạ_bút,V,0.8,1.33,0.83,None,None,None
sân_vận_động,khán_đài,N,2.33,3.88,0.7,0.571,0.571,0.529
chủ_nghĩa_hình_thức,truyện_tranh,N,1.53,2.55,1.26,None,None,None
được,mất,V,0.4,0.67,0.49,-0.005,0.002,-0.03
hiểu,tiên_lượng,V,2.47,4.12,1.31,0.253,0.256,0.313
quét_dọn,loại_bỏ,V,3.73,6.22,0.85,0.045,0.047,0.037
bay_hơi,bay,V,3.47,5.78,0.72,0.149,0.142,0.174
dễ_dàng,khó_khăn,A,0.67,1.12,1.25,0.427,0.437,0.41
gạ,gạ_gẫm,V,5.33,8.88,0.6,0.67,0.676,0.645
vắng_tanh,lịch_bịch,A,0.47,0.78,0.72,None,None,None
nhậm_chức,nhiệm_chức,V,4.67,7.78,1.07,0.314,0.315,0.319
hồ_sơ,bằng_cớ,N,4.07,6.78,0.57,None,None,None
hổ_thẹn,bắt_buộc,V,0.6,1.0,0.88,0.288,0.289,0.33
dấu_hiệu,đặc_trưng,N,3.2,5.33,0.75,0.125,0.129,0.116
người_dân,tộc_người,N,3.87,6.45,1.09,0.345,0.344,0.338
bè_cánh,vây_cánh,N,4.67,7.78,0.94,None,None,None
bật_lửa,giảm_xóc,N,2.6,4.33,1.14,0.177,0.176,0.167
sinh_vật_cảnh,không_trung,N,0.6,1.0,0.8,0.071,0.074,0.1
chần_chờ,dứt_khoát,V,0.4,0.67,0.8,-0.082,-0.08,-0.064
tư_thế,phong_thái,N,5.0,8.33,0.63,0.336,0.337,0.347
máy_vi_tính,phím,N,2.8,4.67,0.65,0.233,0.232,0.22
sụp_đổ,kìm_nén,V,2.2,3.67,1.05,0.221,0.222,0.159
mắc_kẹt,cầm_giữ,V,5.33,8.88,0.87,0.475,0.476,0.493
hình_hoạ,khí_quyển,N,0.27,0.45,0.57,0.093,0.097,0.052
thuộc_địa,kiều_dân,N,3.93,6.55,1.24,0.32,0.32,0.317
nhà_hát,sân_khấu,N,2.6,4.33,1.02,0.441,0.437,0.408
thìa,muỗng,N,4.67,7.78,0.87,0.842,0.841,0.837
tỏ,biểu_lộ,V,4.8,8.0,1.11,0.498,0.496,0.492
chiến_tranh,trận_chiến,N,2.73,4.55,0.68,0.412,0.409,0.394
cộc,va,V,5.0,8.33,0.89,0.034,0.052,0.052
tính_sổ,giám_đốc_thẩm,V,1.27,2.12,1.12,0.031,0.03,0.035
hơn,thua,A,0.8,1.33,1.22,0.086,0.072,0.063
cựu_binh,tân_binh,N,0.67,1.12,0.79,0.456,0.455,0.391
tính_sổ,nuôi_dưỡng,V,0.6,1.0,0.95,0.074,0.076,0.038
ngữ_cảnh,văn_cảnh,N,4.73,7.88,0.93,None,None,None
hâm_nóng,cải_biến,V,3.2,5.33,1.22,0.391,0.391,0.401
bón,tẩm,V,0.93,1.55,0.85,0.227,0.231,0.241
thảm,thê_thảm,A,5.73,9.55,0.44,0.218,0.223,0.235
lắp_đặt,nhồi_nhét,V,3.53,5.88,0.88,0.089,0.091,0.132
tạo_hoá,tạo_vật,N,2.6,4.33,1.25,0.299,0.294,0.29
hen,cúm,N,3.87,6.45,1.2,0.339,0.339,0.321
mệt_mỏi,mỏi_mệt,A,5.73,9.55,0.77,0.774,0.772,0.754
tắc_nghẽn,thông_suốt,V,0.4,0.67,0.61,0.365,0.358,0.34
trọng,coi_trọng,V,5.6,9.33,0.61,0.382,0.378,0.388
đẽo,bắt,V,0.73,1.22,0.93,0.065,0.065,0.077
len_lách,len_lỏi,V,5.0,8.33,0.97,None,None,None
hú,ca,V,3.87,6.45,0.96,0.146,0.147,0.142
danh_sách,mục,N,3.13,5.22,0.81,0.252,0.258,0.254
chuyển_nhượng,phát_mại,V,3.13,5.22,0.96,0.183,0.182,0.192
vòng_tay,trang_sức,N,4.13,6.88,1.15,0.112,0.11,0.102
đổ_bê_tông,chăm_sóc,V,1.13,1.88,1.2,0.056,0.056,0.048
kín,phát,V,0.8,1.33,0.91,0.018,0.021,0.045
người_tình,chiến_sĩ,N,2.87,4.78,0.88,0.106,0.113,0.102
cuối,đầu,N,0.53,0.88,0.72,0.642,0.643,0.649
cần_tây,đậu_bắp,N,2.93,4.88,0.77,0.55,0.555,0.533
định_kì,bất_thường,N,0.67,1.12,1.14,0.159,0.157,0.117
thiện_chí,ác_ý,N,0.6,1.0,0.88,0.305,0.306,0.303
biên_cương,biên_giới,N,5.33,8.88,0.6,0.356,0.359,0.358
sông,cửa_sông,N,2.67,4.45,1.14,0.641,0.644,0.626
tím,bẹp,A,0.73,1.22,1.06,0.108,0.108,0.081
năm_âm_lịch,tháng_âm_lịch,N,2.4,4.0,0.88,0.572,0.559,0.478
đỡ_đần,suy_xét,V,0.73,1.22,1.06,0.155,0.157,0.148
bầm,mệ,N,5.6,9.33,0.61,0.041,0.052,0.06
dáng,tản_bộ,N,3.73,6.22,0.93,0.101,0.098,0.124
sinh_vật,tế_bào,N,2.8,4.67,0.75,0.499,0.498,0.494
giở_quẻ,giở_chứng,V,5.47,9.12,0.62,None,None,None
nhau,rau,N,4.73,7.88,0.68,0.116,0.117,0.106
đồng_tình,phản_đối,A,0.67,1.12,0.94,0.291,0.287,0.293
thanh,dụng_cụ,N,3.07,5.12,0.68,0.148,0.146,0.173
điệu,háo,A,1.0,1.67,1.21,0.108,0.11,0.083
tử_trận,tiếp_sức,V,0.4,0.67,0.71,0.083,0.073,0.077
trù_dập,trù_úm,V,5.4,9.0,0.71,0.596,0.592,0.61
tứ_kết,trận_đấu,N,3.47,5.78,1.02,0.401,0.396,0.381
tình_ca,ca_khúc,N,3.67,6.12,1.25,0.483,0.485,0.501
báo_ân,trả_thù,V,1.07,1.78,1.18,0.087,0.093,0.145
vững_tâm,vững_lòng,A,5.53,9.22,0.72,0.415,0.407,0.37
cũ_rích,mới_mẻ,A,0.67,1.12,0.79,0.193,0.191,0.161
lành,kẹt,A,0.27,0.45,0.44,0.028,0.022,0.053
tù,ngục,N,5.53,9.22,0.88,0.308,0.309,0.29
chủ_nghĩa_hình_thức,đức_tính,N,1.27,2.12,1.34,None,None,None
dày_cộp,mỏng_tang,A,0.47,0.78,0.72,0.317,0.317,0.269
cây_trồng,thầy_thuốc_nhân_dân,N,0.87,1.45,0.96,0.091,0.087,0.061
điều_hành,lục_lọi,N,2.47,4.12,0.72,0.013,0.011,0.044
dáng_bộ,dáng_điệu,N,5.0,8.33,1.21,None,None,None
tự_do,phần_cứng,N,0.47,0.78,0.62,0.004,-0.002,0.026
thu_ngân,dân_cư,N,2.47,4.12,1.2,0.101,0.11,0.149
cắt,tẩm,V,0.27,0.45,0.57,0.105,0.106,0.069
nghị_quyết,tài_liệu,N,3.47,5.78,0.81,0.166,0.161,0.124
ăn_nhậu,nhậu_nhẹt,V,4.47,7.45,0.62,0.728,0.727,0.699
gắn_kết,liên_kết,V,5.47,9.12,0.88,0.688,0.691,0.634
máy_tính,bộ_vi_xử_lý,N,2.67,4.45,0.79,0.508,0.506,0.472
cải_thiện,thuần_hoá,V,2.2,3.67,0.83,0.214,0.209,0.242
năng_lực,tột_độ,N,1.73,2.88,0.68,-0.014,-0.015,0.01
an_dưỡng,tĩnh_dưỡng,V,5.13,8.55,1.09,0.546,0.547,0.472
di_chuyển,dời,N,5.27,8.78,0.68,0.339,0.342,0.334
ngoài,trong,N,0.6,1.0,0.71,0.121,0.121,0.139
cặp,đôi,N,5.73,9.55,0.57,0.375,0.375,0.364
cẳng,bắp_chân,N,2.8,4.67,0.65,0.304,0.303,0.288
chiến_tranh,hoà_bình,N,0.47,0.78,0.62,0.346,0.347,0.376
đau_đớn,làm_phiền,V,5.2,8.67,0.83,0.069,0.069,0.083
gia_tăng,lạm_phát,V,2.67,4.45,1.07,0.199,0.199,0.172
thói,thái_độ,N,2.6,4.33,1.25,0.438,0.436,0.415
mô_hình,cấu_trúc,N,4.07,6.78,0.85,0.421,0.422,0.336
mạo_danh,lừa_đảo,V,4.47,7.45,1.09,0.608,0.609,0.582
sếp,lãnh_đạo,N,4.27,7.12,0.77,0.325,0.326,0.29
thẻ,kỉ_vật,N,2.6,4.33,0.95,0.111,0.112,0.089
hỏi,đáp,V,0.67,1.12,0.87,0.404,0.404,0.37
tản_bộ,di_chuyển,V,3.47,5.78,0.96,0.389,0.388,0.323
chuệch_choạc,chệch_choạc,A,5.53,9.22,0.5,0.773,0.773,0.721
dương_gian,âm_phủ,N,0.53,0.88,0.62,None,None,None
giải_thích,ngấm,V,0.47,0.78,0.72,0.094,0.091,0.089
mách,mách_nước,V,4.2,7.0,0.91,0.531,0.523,0.507
nước_lớn,xuất_xứ,N,1.0,1.67,1.21,0.083,0.083,0.078
số_hoá,hoá_lỏng,V,1.6,2.67,0.61,0.139,0.139,0.12
dận,nhấn,V,4.67,7.78,0.79,None,None,None
hơi_hướng,hơi_hám,N,0.73,1.22,0.77,None,None,None
cắt_giảm,trừ_khử,V,0.53,0.88,0.96,0.159,0.163,0.157
nhạc_nhẹ,cung_bậc,N,1.4,2.33,1.2,0.152,0.169,0.171
túm_tụm,quần_tụ,V,5.0,8.33,0.82,0.34,0.34,0.314
giở_mặt,lật_lọng,V,5.0,8.33,1.26,None,None,None
thị_giác,võng_mạc,N,2.87,4.78,0.72,0.451,0.451,0.445
người_làm,dân_chơi,N,2.13,3.55,1.09,0.155,0.154,0.116
phân_chia,phân_bổ,N,5.07,8.45,0.77,0.528,0.527,0.528
xâm_nhập,xuyên,V,4.2,7.0,0.98,0.199,0.199,0.136
thuộc_hạ,người_lớn,N,1.93,3.22,0.93,0.2,0.209,0.199
dịch_chuyển,tham_gia,V,1.33,2.22,0.79,0.031,0.034,0.043
bơi,ngụp,V,3.47,5.78,1.36,0.441,0.439,0.397
cư_dân,người_dân,N,5.67,9.45,0.6,0.583,0.582,0.559
khoan_thai,ung_dung,A,5.27,8.78,0.85,0.315,0.314,0.314
xe_tải,nóc,N,1.53,2.55,1.02,0.131,0.133,0.094
mùa_đông,đông_chí,N,2.67,4.45,0.7,0.339,0.334,0.314
lạc_hậu,tiên_tiến,A,0.53,0.88,0.62,0.299,0.299,0.269
chọc_ghẹo,biếu_xén,V,0.67,1.12,0.94,0.25,0.252,0.232
nền,cận_cảnh,N,1.8,3.0,0.75,-0.117,-0.12,-0.136
sư_tử,lăng_kính,N,0.8,1.33,1.17,0.008,0.01,-0.047
bẫy,cạm,N,5.0,8.33,0.63,None,None,None
nhảy_múa,nhẩy_múa,V,4.6,7.67,0.95,None,None,None
minh_oan,phá_vây,V,0.33,0.55,0.47,None,None,None
nguyên_nhân,nguyên_do,N,5.93,9.88,0.25,0.818,0.82,0.809
dữ,hiền,A,0.8,1.33,1.28,0.15,0.147,0.17
phần_phụ,bộ_phận,N,4.07,6.78,0.85,0.199,0.185,0.155
anh_dũng,dũng_mãnh,A,5.13,8.55,0.72,0.148,0.149,0.141
buôn_bán,vận_tải,N,2.4,4.0,0.8,0.19,0.191,0.186
khấp_khểnh,gập_ghềnh,A,5.47,9.12,0.72,None,None,None
đâm_sầm,phóng,V,3.4,5.67,1.31,0.324,0.325,0.269
bò,đi,V,2.6,4.33,1.02,-0.001,-0.001,-0.019
yểm_hộ,yểm_trợ,V,5.0,8.33,0.89,None,None,None
vòng_vòng,ngoại_tiếp,A,1.8,3.0,1.28,None,None,None
nội_tiết,luồng,N,1.07,1.78,1.06,0.005,0.005,0.013
dị_ứng,lương_tri,N,0.33,0.55,0.6,-0.012,-0.012,0.001
trẩy_hội,ứng_chiến,V,0.53,0.88,0.72,None,None,None
vặn,vặn_vẹo,V,4.13,6.88,1.15,0.333,0.33,0.338
lùng_bùng,vắng_ngắt,A,1.6,2.67,1.14,0.18,0.179,0.178
chê,khen,V,0.13,0.22,0.34,0.258,0.257,0.207
tượng_đài,bảng_tổng_sắp,N,0.8,1.33,1.05,0.064,0.065,0.076
người_yêu,tình_nhân,N,3.0,5.0,1.1,0.407,0.408,0.357
thiện_cảm,ác_cảm,N,0.53,0.88,0.72,0.591,0.595,0.535
trau_chuốt,phát_triển,V,2.07,3.45,0.93,0.134,0.128,0.135
gươm,lưỡi,N,1.4,2.33,1.02,0.252,0.254,0.252
bánh_xe,vành,N,2.6,4.33,0.95,0.462,0.465,0.416
tượng_đài,phân_bón,N,0.07,0.12,0.25,-0.086,-0.086,-0.055
nạc,búi,A,0.6,1.0,0.8,0.144,0.146,0.139
khung_thành,cầu_môn,N,5.4,9.0,1.25,0.906,0.906,0.898
kĩ,sơ_sài,A,0.2,0.33,0.4,0.358,0.36,0.371
buồn,vui,A,0.2,0.33,0.54,0.633,0.631,0.576
nhược_điểm,ưu_điểm,N,0.33,0.55,0.79,0.697,0.697,0.684
quan_hệ,trạng_thái,N,2.73,4.55,0.68,0.179,0.18,0.168
đong_đưa,vung_vẩy,V,3.93,6.55,1.24,0.373,0.372,0.332
bừa_bãi,gọn_ghẽ,A,0.27,0.45,0.44,0.164,0.164,0.142
nghiêm_lệnh,đồng_dao,N,1.07,1.78,1.06,None,None,None
nhà_thơ,thi_nhân,N,4.87,8.12,0.81,0.654,0.653,0.663
máy_tính,vi_xử_lý,N,2.4,4.0,0.61,0.437,0.434,0.423
né_tránh,hích,V,2.6,4.33,1.14,0.087,0.087,0.069
địch,ta,N,0.33,0.55,0.7,0.341,0.339,0.343
lưu_thông,ách_tắc,V,0.53,0.88,1.02,0.295,0.311,0.302
thứ_yếu,rộng_rãi,A,0.2,0.33,0.4,0.039,0.045,0.046
đặt_chân,thay,V,3.27,5.45,1.24,0.206,0.216,0.239
dì_ghẻ,phụ_huynh,N,3.8,6.33,0.91,0.244,0.24,0.228
rỗi,rỗi_rãi,A,5.53,9.22,0.72,0.515,0.517,0.506
tái_phát,nhiễm_khuẩn,V,0.87,1.45,0.72,0.41,0.41,0.419
mầm,rau_quả,N,3.53,5.88,1.02,0.2,0.2,0.188
hạn_hán,lụt_lội,N,0.33,0.55,0.6,0.674,0.679,0.643
lưỡng_lự,dứt_khoát,V,0.27,0.45,0.57,0.231,0.231,0.229
tung,cấp_phát,V,3.93,6.55,0.68,0.184,0.184,0.157
giầu,khó,A,0.53,0.88,0.72,0.137,0.138,0.158
làm_đẹp,cải_tạo,V,2.4,4.0,1.02,0.185,0.177,0.152
ban_mai,sớm_mai,N,5.4,9.0,1.08,0.477,0.489,0.451
quỳ,ví,V,1.0,1.67,1.26,0.057,0.059,0.052
bại_lộ,lộ,V,5.07,8.45,1.24,0.471,0.471,0.448
tính_cách,phẩm_chất,N,4.4,7.33,1.14,0.494,0.493,0.489
triều_đại,cổ_đại,N,3.67,6.12,1.14,0.274,0.277,0.27
cõi_dương,cõi_âm,N,0.6,1.0,1.2,None,None,None
lình_xình,nặng_tình,A,1.33,2.22,1.14,0.17,0.169,0.121
người_làm,người_bị_hại,N,2.2,3.67,0.83,0.135,0.134,0.178
cõi_tục,trần_gian,N,5.4,9.0,0.71,None,None,None
chần_chừ,lảo_đảo,V,3.2,5.33,0.98,0.113,0.117,0.13
khử_trùng,sát_trùng,V,5.53,9.22,0.81,0.705,0.702,0.702
